,name,platform,publisher,genre,critic,sales_na,sales_pal,sales_jp,sales_ot,release
2365,Borderlands 2,PC,2K Games,Shooter,N/A,0.43m,0.41m,N/A,0.09m,18th Sep 12
285,Batman: Arkham Asylum,PS3,Eidos Interactive,Action,9.0,2.26m,1.33m,0.07m,0.63m,25th Aug 09
3560,NFL Blitz 2001,PS,Midway Games,Sports,N/A,0.33m,0.22m,N/A,0.04m,14th Sep 00
1232,Kingdom Hearts 3D: Dream Drop Distance,3DS,Square Enix,Role-Playing,N/A,0.88m,0.27m,0.34m,0.10m,31st Jul 12
1508,Pocket Monsters Stadium,N64,Nintendo,Strategy,N/A,N/A,N/A,1.37m,N/A,01st Aug 98
514,inFAMOUS,PS3,Sony Computer Entertainment,Action,8.7,1.76m,0.68m,0.12m,0.42m,26th May 09
3433,Battle of Giants: Dragons,DS,Ubisoft,Strategy,N/A,0.30m,0.25m,N/A,0.06m,29th Sep 09
3368,F1 2017,PS4,Deep Silver,Racing,N/A,0.04m,0.48m,0.02m,0.09m,25th Aug 17
2243,NASCAR 99,N64,EA Sports,Racing,N/A,0.94m,0.04m,N/A,0.01m,11th Sep 98
3721,Spider-Man 3,X360,Activision,Platform,6.0,0.49m,0.04m,N/A,0.04m,04th May 07
2648,James Bond 007: Nightfire,XB,Electronic Arts,Shooter,N/A,0.58m,0.22m,N/A,0.03m,18th Nov 02
3324,TimeSplitters 2,XB,Eidos Interactive,Shooter,N/A,0.29m,0.33m,N/A,0.01m,17th Oct 02
3710,SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,DS,THQ,Action,N/A,0.52m,0.00m,N/A,0.04m,20th Oct 08
2679,EA Sports Active NFL Training Camp,Wii,EA Sports,Sports,N/A,0.76m,N/A,N/A,0.05m,16th Nov 10
1700,Tom Clancy's Rainbow Six: Vegas,PS3,Ubisoft,Shooter,N/A,0.47m,0.53m,0.03m,0.22m,26th Jun 07
1771,Dragon Quest IV: Michibikareshi Monotachi,PS,Enix,Role-Playing,N/A,N/A,N/A,1.20m,0.01m,22nd Nov 01
453,Madden NFL 17,PS4,EA Sports,Sports,8.5,2.30m,0.37m,N/A,0.60m,23rd Aug 16
599,Skate 3,X360,EA Sports,Sports,8.3,1.47m,0.99m,N/A,0.25m,11th May 10
401,LEGO Star Wars: The Video Game,PS2,Eidos Interactive,Action,7.9,1.98m,1.14m,0.01m,0.41m,02nd Apr 05
1258,Pro Evolution Soccer 2010,PS2,Konami,Sports,7.2,0.10m,0.18m,0.12m,1.16m,10th Nov 09
2728,PES 2009: Pro Evolution Soccer,PSP,Konami,Sports,7.3,0.04m,0.33m,0.26m,0.17m,11th Nov 08
3682,Yokai Sangokushi,3DS,Level 5,Action,N/A,N/A,N/A,0.57m,N/A,02nd Apr 16
542,World Soccer Winning Eleven 7 International,PS2,Konami,Sports,9.2,0.08m,1.24m,1.13m,0.45m,17th Feb 04
1295,Tom Clancy's Ghost Recon Advanced Warfighter,X360,Ubisoft,Shooter,9.1,1.40m,0.02m,0.02m,0.10m,09th Mar 06
1118,Arms,NS,Nintendo,Fighting,6.4,0.74m,0.44m,0.41m,0.12m,16th Jun 17
3708,Blood Wake,XB,Microsoft,Shooter,N/A,0.43m,0.12m,N/A,0.02m,25th Dec 01
2479,Samba De Amigo,Wii,Sega,Misc,6.7,0.41m,0.37m,0.01m,0.09m,23rd Sep 08
2214,Oddworld: Abe's Exoddus,PS,GT Interactive,Platform,8.6,0.55m,0.38m,N/A,0.06m,17th Nov 98
3091,Disney Infinity 2.0: Marvel Super Heroes,WiiU,Disney Interactive Studios,Action-Adventure,N/A,0.41m,0.22m,N/A,0.06m,23rd Sep 14
512,Star Fox,SNES,Nintendo,Shooter,N/A,1.61m,0.51m,0.80m,0.07m,01st Mar 93
3476,New Play Control! Pikmin 2,Wii,Nintendo,Strategy,8.7,0.11m,0.13m,0.34m,0.02m,10th Jun 12
271,The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive,Role-Playing,9.2,2.87m,1.03m,0.13m,0.41m,07th Jul 09
3262,Angry Birds Trilogy,3DS,Activision,Puzzle,N/A,0.38m,0.22m,N/A,0.06m,25th Sep 12
2081,UFC Undisputed 3,PS3,THQ,Fighting,N/A,0.55m,0.33m,0.03m,0.14m,14th Feb 12
1911,Need for Speed Underground 2,GC,Electronic Arts,Racing,N/A,0.70m,0.39m,0.01m,0.03m,15th Nov 04
986,Mortal Kombat: Deception,PS2,Midway Games,Fighting,7.4,0.92m,0.72m,N/A,0.24m,04th Oct 04
1623,Deal or No Deal,Wii,Zoo Games,Misc,N/A,1.20m,N/A,N/A,0.09m,20th Jan 09
2236,Sniper Elite V2,PS3,505 Games,Shooter,7.4,0.38m,0.40m,0.06m,0.15m,02nd May 12
1820,LEGO Star Wars III: The Clone Wars,PS3,LucasArts,Action,8.0,0.52m,0.47m,N/A,0.19m,22nd Mar 11
1237,The Legend of Zelda: Twilight Princess,GC,Nintendo,Adventure,9.5,1.15m,0.36m,0.04m,0.04m,11th Dec 06
569,Need for Speed: Hot Pursuit,PS3,Electronic Arts,Racing,8.9,1.05m,1.24m,0.03m,0.49m,16th Nov 10
1856,WWE 2K15,PS4,2K Sports,Sports,N/A,0.40m,0.57m,N/A,0.19m,18th Nov 14
3077,Advance Wars,GBA,Nintendo,Strategy,9.4,0.50m,0.19m,N/A,0.01m,09th Sep 01
1698,Need for Speed: Most Wanted,X360,Electronic Arts,Racing,8.4,1.00m,0.13m,0.02m,0.10m,16th Nov 05
3129,The Lord of the Rings: The Return of the King,GC,Electronic Arts,Action,8.7,0.53m,0.14m,N/A,0.02m,05th Nov 03
2792,Star Wars: The Force Unleashed II,Wii,LucasArts,Action,7.5,0.53m,0.19m,N/A,0.06m,26th Oct 10
2211,Haze,PS3,Ubisoft,Shooter,5.6,0.49m,0.33m,0.02m,0.15m,20th May 08
