,name,platform,publisher,genre,critic,sales_na,sales_pal,sales_jp,sales_ot,release
2395,Sonic Riders,GC,Sega,Racing,N/A,0.71m,0.18m,N/A,0.03m,21st Feb 06
2755,Armored Core 2,PS2,Agetec,Simulation,N/A,0.28m,0.22m,0.23m,0.07m,24th Oct 00
2860,FIFA Soccer 11,PS2,EA Sports,Sports,N/A,0.11m,0.29m,N/A,0.36m,28th Sep 10
2863,Mortal Kombat: Deception,XB,Midway Games,Fighting,7.4,0.61m,0.12m,N/A,0.03m,04th Oct 04
2325,The SpongeBob SquarePants Movie,GC,THQ,Platform,6.6,0.73m,0.19m,N/A,0.03m,27th Oct 04
2879,Dark Souls II,X360,Namco Bandai Games,Role-Playing,N/A,0.49m,0.19m,0.01m,0.07m,07th Apr 15
1472,2Xtreme,PS,Sony Computer Entertainment,Sports,8.3,1.15m,0.20m,N/A,0.05m,31st Oct 96
2957,My Little Pony: Pinkie Pie's Party,DS,THQ,Adventure,N/A,0.67m,N/A,N/A,0.06m,22nd Sep 08
2414,AMF Bowling Pinbusters!,Wii,Mud Duck Productions,Sports,N/A,0.84m,0.00m,N/A,0.07m,20th Nov 07
184,Super Mario World: Super Mario Advance 2,GBA,Nintendo,Platform,N/A,3.21m,1.11m,0.95m,0.20m,09th Feb 02
3397,WWF in Your House,PS,Acclaim Entertainment,Fighting,N/A,0.35m,0.24m,N/A,0.04m,31st Oct 96
693,Need for Speed Carbon: Own the City,PSP,Electronic Arts,Racing,7.4,0.87m,0.97m,N/A,0.58m,31st Oct 06
3303,Far Cry 4,PC,Ubisoft,Shooter,8.5,0.18m,0.41m,N/A,0.05m,18th Nov 14
1131,Tomodachi Collection: New Life,3DS,Nintendo,Simulation,N/A,N/A,N/A,1.69m,N/A,13th Apr 13
2704,Golden Sun: Dark Dawn,DS,Nintendo,Role-Playing,8.0,0.53m,0.10m,0.13m,0.05m,29th Nov 10
2853,Duke Nukem Forever,PS3,2K Games,Shooter,4.4,0.33m,0.31m,N/A,0.11m,14th Jun 11
1502,The Elder Scrolls Online,XOne,Bethesda Softworks,Role-Playing,N/A,0.86m,0.39m,N/A,0.13m,09th Jun 15
3396,Kinect Sports Rivals,XOne,Microsoft Game Studios,Misc,N/A,0.30m,0.25m,0.02m,0.05m,08th Apr 14
1491,The Sims 2,PSP,Electronic Arts,Simulation,6.2,0.49m,0.56m,N/A,0.33m,07th Dec 05
2093,Forza Motorsport,XB,Microsoft,Racing,9.2,0.52m,0.51m,N/A,0.02m,03rd May 05
1411,Tony Hawk's American Wasteland (Weekly american sales),PS2,Activision,Sports,N/A,1.38m,0.05m,N/A,0.02m,18th Oct 05
2962,Croc 2,PS,Fox Interactive,Platform,6.5,0.41m,0.28m,N/A,0.05m,30th Jun 99
1269,Mortal Kombat,PS3,Warner Bros. Interactive,Fighting,8.4,1.06m,0.31m,N/A,0.19m,19th Apr 11
3405,Jak and Daxter: The Lost Frontier,PSP,Sony Computer Entertainment,Platform,7.5,0.18m,0.28m,0.00m,0.16m,03rd Nov 09
462,WWF SmackDown! 2: Know Your Role,PS,THQ,Fighting,8.7,1.76m,1.21m,0.07m,0.16m,21st Nov 00
1895,Shadow of the Colossus,PS2,Sony Computer Entertainment,Adventure,9.1,0.78m,0.03m,0.20m,0.13m,18th Oct 05
1183,Heavenly Sword,PS3,Sony Computer Entertainment,Action,8.0,0.57m,0.73m,0.06m,0.29m,12th Sep 07
733,Dying Light,PS4,Warner Bros. Interactive,Action,N/A,1.10m,0.75m,0.13m,0.38m,27th Jan 15
3043,Battle Arena Toshinden 2,PS,Playmates,Fighting,N/A,0.15m,0.10m,0.41m,0.05m,01st Jan 96
2481,The Simpsons Game,PS3,Electronic Arts,Platform,7.5,0.38m,0.36m,N/A,0.14m,30th Oct 07
1054,50 Cent: Bulletproof,PS2,Vivendi Games,Action,N/A,0.85m,0.76m,N/A,0.16m,17th Nov 05
1552,Donkey Kong Jungle Beat,GC,Nintendo,Platform,7.9,0.84m,0.22m,0.24m,0.04m,14th Mar 05
8,New Super Mario Bros. Wii,Wii,Nintendo,Platform,8.6,14.52m,7.00m,4.70m,2.27m,15th Nov 09
1650,The Sims 2: Nightlife,PC,Electronic Arts,Simulation,7.5,1.22m,0.05m,N/A,N/A,13th Sep 05
3134,Test Drive Unlimited 2,X360,Atari,Racing,6.8,0.30m,0.32m,0.00m,0.06m,08th Feb 11
1648,Watch Dogs 2,XOne,Ubisoft,Action,N/A,0.65m,0.51m,N/A,0.11m,15th Nov 16
443,Star Wars Episode III: Revenge of the Sith,PS2,LucasArts,Action,N/A,1.47m,1.39m,0.03m,0.43m,04th May 05
3772,Mega Man X2,SNES,Capcom,Platform,N/A,0.09m,0.02m,0.45m,0.00m,01st Jan 94
1338,Ice Climber,NES,Nintendo,Platform,N/A,0.46m,0.10m,0.92m,0.02m,01st Oct 85
2204,Dynasty Warriors 3: Xtreme Legends,PS2,KOEI,Action,N/A,0.13m,0.10m,0.74m,0.03m,11th Jan 03
3612,Skylanders: Spyro's Adventure,3DS,Activision,Action,N/A,0.33m,0.20m,N/A,0.05m,16th Oct 11
251,Splatoon,WiiU,Nintendo,Shooter,8.4,1.58m,1.29m,1.56m,0.27m,29th May 15
613,Halo Wars,X360,Microsoft,Strategy,8.1,1.57m,0.80m,0.04m,0.25m,03rd Mar 09
2743,Harvest Moon: A Wonderful Life,GC,Natsume,Role-Playing,8.2,0.61m,0.16m,N/A,0.02m,16th Mar 04
1886,Ninja Gaiden Sigma,PS3,Tecmo,Action,8.8,0.57m,0.32m,0.09m,0.16m,03rd Jul 07
2887,Kane & Lynch: Dead Men,PS3,Eidos Interactive,Shooter,6.8,0.29m,0.32m,0.01m,0.13m,13th Nov 07
2650,Marvel: Ultimate Alliance,PS2,Activision,Role-Playing,8.1,0.69m,0.03m,N/A,0.11m,24th Oct 06
9,Duck Hunt,NES,Nintendo,Shooter,N/A,26.93m,0.63m,0.28m,0.47m,15th Oct 85
2720,Guitar Hero: Metallica,X360,Activision,Misc,8.5,0.52m,0.20m,N/A,0.07m,29th Mar 09
3306,Max Payne 2: The Fall of Max Payne,XB,Rockstar Games,Shooter,8.6,0.47m,0.15m,N/A,0.02m,25th Nov 03
3430,Bahamut Lagoon,SNES,Square,Role-Playing,N/A,N/A,N/A,0.62m,N/A,09th Feb 96
1000,Madden NFL 06,XB,EA Sports,Sports,N/A,1.75m,0.03m,N/A,0.08m,08th Aug 05
3070,NCAA Football 98,PS,EA Sports,Sports,N/A,0.39m,0.27m,N/A,0.05m,31st Jul 97
2712,Final Fantasy Anthology,PS,Square EA,Role-Playing,8.6,0.45m,0.30m,N/A,0.05m,30th Sep 99
3566,Killzone 2: DLC Bundle Pack,PSN,Konami Digital Entertainment,Shooter,N/A,0.23m,0.10m,0.23m,0.03m,01st Sep 15
716,Midnight Club: Los Angeles,X360,Rockstar Games,Racing,8.0,1.71m,0.45m,0.01m,0.22m,20th Oct 08
1785,ATV Offroad Fury 3,PS2,Sony Computer Entertainment,Racing,7.5,1.00m,0.04m,N/A,0.16m,02nd Nov 04
2938,The Amazing Spider-Man (2012),X360,Activision,Action-Adventure,6.8,0.43m,0.24m,N/A,0.07m,26th Jun 12
3158,.hack//Mutation Part 2,PS2,Bandai,Role-Playing,7.5,0.23m,0.18m,0.20m,0.06m,07th May 03
3178,Taiko no Tatsujin Wii,Wii,Namco Bandai,Misc,N/A,N/A,N/A,0.67m,N/A,11th Dec 08
1346,Pac-Man World,PS,Namco,Action,N/A,1.21m,0.14m,0.10m,0.04m,30th Sep 99
2512,Tom Clancy's Ghost Recon: Island Thunder,XB,Ubisoft,Shooter,N/A,0.61m,0.24m,N/A,0.03m,06th Aug 03
852,Devil May Cry 3: Dante's Awakening,PS2,Capcom,Action,8.6,0.99m,0.63m,0.29m,0.19m,01st Mar 05
3609,Kirby's Dream Course,SNES,Nintendo,Sports,N/A,N/A,N/A,0.59m,0.00m,01st Feb 95
2133,Disney Infinity 2.0: Marvel Super Heroes,PS3,Disney Interactive Studios,Action-Adventure,N/A,0.52m,0.34m,N/A,0.18m,23rd Sep 14
2944,Until Dawn: Rush of Blood,PS4,Sony Computer Entertainment,Adventure,N/A,0.40m,0.21m,N/A,0.13m,13th Oct 16
3229,Ratatouille,PSP,THQ,Platform,6.6,0.22m,0.28m,N/A,0.16m,26th Jun 07
2114,WWE 2K18,PS4,2K Sports,Sports,N/A,0.34m,0.53m,N/A,0.17m,17th Oct 17
2248,Madden NFL 10,PS2,EA Sports,Sports,N/A,0.88m,0.00m,N/A,0.10m,14th Aug 09
3470,Tony Hawk: RIDE,X360,Activision,Sports,4.4,0.46m,0.10m,N/A,0.05m,17th Nov 09
1809,The Dukes of Hazzard: Racing for Home,PS,SouthPeak Interactive,Racing,N/A,0.99m,0.16m,N/A,0.04m,30th Nov 99
30,Call of Duty: Black Ops 3,PS4,Activision,Shooter,N/A,6.10m,6.06m,0.41m,2.43m,06th Nov 15
1051,1-2-Switch,NS,Nintendo,Party,4.9,0.47m,0.79m,0.42m,0.10m,03rd Mar 17
321,Tekken Tag Tournament,PS2,Namco,Fighting,8.7,1.68m,1.51m,0.51m,0.35m,25th Oct 00
1473,Anno 2070,PC,Ubisoft,Strategy,8.7,N/A,1.14m,N/A,0.26m,17th Nov 11
2238,Mario Party Advance,GBA,Nintendo,Misc,N/A,0.50m,0.19m,0.28m,0.02m,28th Mar 05
3483,Yakuza: Dead Souls,PS3,Sega,Shooter,7.0,0.09m,0.06m,0.42m,0.03m,13th Mar 12
2316,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,Konami,Misc,N/A,0.68m,0.25m,N/A,0.02m,08th Apr 03
2561,Army Men: Air Attack,PS,3DO,Action,N/A,0.47m,0.32m,N/A,0.06m,02nd Nov 99
3635,DEFIANCE,X360,Trion Worlds,Action,N/A,0.38m,0.14m,N/A,0.05m,02nd Apr 13
620,Need for Speed: Shift,PS3,Electronic Arts,Racing,8.2,0.69m,1.40m,0.04m,0.52m,15th Sep 09
1070,Tom Clancy's Ghost Recon,XB,Ubisoft,Shooter,N/A,1.23m,0.46m,N/A,0.07m,11th Nov 02
1015,Kingdom Hearts HD I.5 ReMIX,PS3,Square Enix,Misc,N/A,0.92m,0.40m,0.25m,0.28m,10th Sep 13
1778,Boom Blox,Wii,Electronic Arts,Puzzle,8.6,0.71m,0.38m,0.00m,0.12m,06th May 08
2121,MotorStorm: Arctic Edge,PSP,Sony Computer Entertainment,Racing,7.7,0.16m,0.58m,0.00m,0.30m,29th Sep 09
3458,Just Dance 2015,X360,Ubisoft,Music,N/A,0.42m,0.13m,N/A,0.06m,21st Oct 14
1456,LEGO Star Wars II: The Original Trilogy,PSP,LucasArts,Action,8.4,0.58m,0.51m,N/A,0.32m,12th Sep 06
3736,Odin Sphere,PS2,Atlus,Role-Playing,8.0,0.23m,0.18m,0.09m,0.06m,22nd May 07
2873,DMC,PS3,Capcom,Action,N/A,0.24m,0.24m,0.19m,0.09m,15th Jan 13
2021,Grand Theft Auto: Chinatown Wars,PSP,Rockstar Games,Adventure,9.2,0.28m,0.50m,0.03m,0.27m,20th Oct 09
217,Mario & Sonic at the Olympic Games,DS,Sega,Sports,7.0,1.63m,2.46m,0.44m,0.57m,22nd Jan 08
1088,Xenosaga Episode I: Der Wille zur Macht,PS2,Namco,Role-Playing,8.7,0.63m,0.49m,0.45m,0.17m,26th Feb 03
3423,Bass Landing,PS,Agetec,Sports,N/A,0.21m,0.14m,0.23m,0.04m,07th Sep 00
2363,Lego Batman 3: Beyond Gotham,X360,Warner Bros. Interactive Entertainment,Action,N/A,0.48m,0.36m,N/A,0.08m,11th Nov 14
1634,LEGO Battles,DS,Warner Bros. Interactive,Strategy,N/A,0.79m,0.38m,N/A,0.12m,10th Jun 09
406,Resident Evil 5,X360,Capcom,Action,8.6,2.12m,0.93m,0.12m,0.34m,13th Mar 09
3012,Need for Speed Rivals,XOne,Electronic Arts,Racing,N/A,0.45m,0.19m,N/A,0.08m,22nd Nov 13
3034,The LEGO Movie Videogame,PS4,Warner Bros. Interactive Entertainment,Action-Adventure,6.0,0.26m,0.32m,0.01m,0.11m,07th Feb 14
3756,Top Spin 3,X360,2K Sports,Sports,8.1,0.09m,0.40m,N/A,0.07m,23rd Jun 08
1458,Dying Light,XOne,Warner Bros. Interactive Entertainment,Misc,N/A,0.96m,0.31m,0.01m,0.13m,06th Feb 16
1228,F-1 World Grand Prix,N64,Video System,Racing,N/A,0.46m,0.96m,0.09m,0.08m,31st Jul 98
3654,Xenosaga Episode II: Jenseits von Gut und Böse,PS2,Namco,Role-Playing,7.3,0.28m,0.22m,N/A,0.07m,15th Feb 05
109,Super Mario Bros. 2,NES,Nintendo,Platform,N/A,5.39m,1.18m,0.70m,0.19m,01st Oct 88
3426,Pac-Man Player's Choice Bundle,GC,Namco,Misc,N/A,0.48m,0.12m,N/A,0.02m,02nd Dec 03
3036,LEGO Racers,N64,LEGO Media,Racing,N/A,0.51m,0.18m,N/A,0.01m,31st Oct 99
1246,Pro Evolution Soccer 2008,PS3,Konami,Sports,7.1,0.04m,1.10m,0.32m,0.13m,12th Mar 08
2604,ESPN College Hoops 2K5,PS2,Sega,Sports,N/A,0.41m,0.32m,N/A,0.11m,17th Nov 04
1158,Tony Hawk's Pro Skater 3,PS,Activision,Sports,N/A,1.09m,0.49m,0.02m,0.07m,28th Oct 01
1121,Hitman: Absolution,X360,Square Enix,Action,N/A,0.68m,0.88m,0.01m,0.13m,20th Nov 12
2745,Darksiders II,X360,THQ,Action-Adventure,8.6,0.45m,0.27m,0.00m,0.07m,14th Aug 12
3799,MX 2002 Featuring Ricky Carmichael,PS2,THQ,Racing,8.0,0.27m,0.21m,N/A,0.07m,03rd Jul 01
34,Call of Duty: Black Ops,X360,Activision,Shooter,8.8,9.76m,3.73m,0.11m,1.14m,09th Nov 10
2409,Sonic Riders: Zero Gravity,Wii,Sega,Racing,5.8,0.48m,0.32m,0.02m,0.09m,08th Jan 08
977,Batman: Arkham Origins,X360,Warner Bros. Interactive Entertainment,Action-Adventure,N/A,1.15m,0.58m,0.00m,0.17m,25th Oct 13
447,The Lord of the Rings: The Return of the King,PS2,Electronic Arts,Action,8.4,1.50m,1.28m,0.05m,0.46m,05th Nov 03
171,LEGO Star Wars: The Complete Saga,Wii,LucasArts,Action,8.0,3.57m,1.57m,N/A,0.52m,06th Nov 07
2839,Lego Marvel Super Heroes,WiiU,Warner Bros. Interactive Entertainment,Action,N/A,0.31m,0.36m,0.03m,0.06m,22nd Oct 13
139,Halo: Combat Evolved,XB,Microsoft,Shooter,9.5,4.98m,1.30m,0.08m,0.07m,14th Nov 01
2817,Crystal Castles,2600,Atari,Action,N/A,0.72m,0.04m,N/A,0.01m,01st Jan 84
91,Final Fantasy X,PS2,Square,Role-Playing,9.0,2.91m,2.07m,2.73m,0.33m,17th Dec 01
3027,Conker: Live And Reloaded,XB,Microsoft,Adventure,8.1,0.49m,0.20m,N/A,0.02m,21st Jun 05
3045,LEGO Harry Potter: Years 1-4,PSP,Warner Bros. Interactive,Adventure,7.5,0.14m,0.38m,N/A,0.19m,29th Jun 10
3565,Final Fantasy Anniversary Edition,PSP,Square Enix,Role-Playing,7.4,0.39m,0.02m,0.13m,0.05m,26th Jun 07
1089,NBA 2K15,XOne,2K Sports,Sports,N/A,1.38m,0.18m,N/A,0.18m,07th Oct 14
2672,Ready 2 Rumble Boxing: Round 2,PS2,Midway Games,Fighting,7.9,0.40m,0.31m,N/A,0.10m,23rd Oct 00
866,Portal 2,X360,Valve,Shooter,9.6,1.41m,0.49m,0.01m,0.17m,19th Apr 11
493,The Sims: Vacation,PC,Electronic Arts,Simulation,N/A,1.72m,1.21m,N/A,0.14m,25th Mar 02
3792,Major League Baseball 2K5,XB,2K Sports,Sports,N/A,0.52m,0.02m,N/A,0.02m,23rd Feb 05
2328,Brutal Legend,PS3,Electronic Arts,Action,7.9,0.54m,0.27m,N/A,0.13m,13th Oct 09
1922,Rocksmith,PS3,Ubisoft,Misc,8.0,0.53m,0.38m,0.09m,0.13m,18th Oct 11
3131,The Evil Within,XOne,Bethesda Softworks,Misc,7.9,0.36m,0.26m,0.00m,0.06m,14th Oct 14
3543,Gravity Rush,PSV,Sony Computer Entertainment,Action-Adventure,N/A,0.21m,0.20m,0.09m,0.10m,12th Jun 12
2544,Tales of the Abyss,3DS,Namco Bandai,Role-Playing,N/A,0.45m,0.20m,0.15m,0.06m,14th Feb 12
2256,Fire Emblem,GBA,Nintendo,Strategy,8.8,0.49m,0.18m,0.29m,0.01m,03rd Nov 03
3138,NBA Street Vol. 2,XB,EA Sports BIG,Sports,N/A,0.62m,0.04m,N/A,0.02m,28th Apr 03
1589,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,Capcom,Role-Playing,N/A,0.31m,0.04m,0.96m,0.01m,29th Jun 04
2494,Monster 4x4: World Circuit,Wii,Ubisoft,Racing,N/A,0.80m,0.00m,0.01m,0.07m,19th Nov 06
2421,Tiger Woods PGA Tour 2002,PS2,EA Sports,Sports,N/A,0.44m,0.35m,N/A,0.12m,24th Feb 02
1412,The House of the Dead 2 & 3 Return,Wii,Sega,Shooter,6.5,0.77m,0.50m,0.03m,0.15m,11th Mar 08
2601,Rogue Galaxy,PS2,Sony Computer Entertainment,Role-Playing,8.3,0.24m,0.16m,0.39m,0.05m,30th Jan 07
2198,NFL GameDay 2001,PS,Sony Computer Entertainment,Sports,N/A,0.56m,0.38m,N/A,0.07m,30th Oct 00
15,Wii Fit Plus,Wii,Nintendo,Sports,8.0,9.01m,8.51m,2.53m,1.76m,04th Oct 09
1349,Final Fantasy: Crystal Chronicles,GC,Nintendo,Role-Playing,7.7,0.72m,0.38m,0.36m,0.04m,09th Feb 04
1146,Star Wars Battlefront: Renegade Squadron,PSP,LucasArts,Shooter,7.5,0.90m,0.47m,N/A,0.32m,09th Oct 07
3616,Tokimeki Memorial: Forever with You,PS,Konami,Simulation,N/A,N/A,N/A,0.55m,0.04m,13th Oct 95
690,Twisted Metal 2,PS,Sony Computer Entertainment,Racing,8.7,2.12m,0.25m,N/A,0.07m,31st Oct 96
1310,NASCAR 98,PS,EA Sports,Racing,N/A,1.43m,0.05m,N/A,0.04m,01st Jan 97
1265,High School Musical 3: Senior Year,DS,Disney Interactive Studios,Misc,N/A,0.63m,0.76m,N/A,0.18m,21st Oct 08
1133,WCW vs. nWo: World Tour,N64,THQ,Fighting,N/A,1.37m,0.28m,0.03m,0.02m,16th Nov 97
1691,Persona 4 Golden,PSV,Atlus,Role-Playing,N/A,0.37m,0.29m,0.39m,0.21m,20th Nov 12
3561,LEGO Indiana Jones 2: The Adventure Continues,PSP,LucasArts,Adventure,5.2,0.21m,0.24m,N/A,0.14m,17th Nov 09
3164,Need for Speed: Shift 2 Unleashed,PS3,Electronic Arts,Racing,8.4,0.20m,0.36m,N/A,0.12m,29th Mar 11
126,Crash Bandicoot,PS,Sony Computer Entertainment,Platform,7.8,3.23m,2.35m,0.94m,0.30m,01st Sep 96
192,Final Fantasy IX,PS,Square,Role-Playing,9.2,1.62m,0.77m,2.78m,0.14m,13th Nov 00
79,Mario Party DS,DS,Nintendo,Misc,7.1,4.40m,1.86m,1.98m,0.69m,19th Nov 07
1470,Dead Space,X360,Electronic Arts,Shooter,8.9,0.89m,0.39m,N/A,0.13m,13th Oct 08
3312,Dragon Ball: Raging Blast 2,X360,Namco Bandai,Fighting,6.0,0.49m,0.09m,0.01m,0.05m,02nd Nov 10
3698,London 2012: The Official Video Game of the Olympic Games,X360,Sega,Sports,5.5,0.07m,0.44m,N/A,0.06m,26th Jun 12
2173,Championship Manager 3,PC,Eidos Interactive,Sports,N/A,N/A,0.93m,N/A,0.08m,20th Nov 03
2270,Donkey Kong Junior,2600,Coleco,Platform,N/A,0.90m,0.05m,N/A,0.01m,01st Jan 83
1077,Just Cause 2,PS3,Square Enix,Action,8.3,0.45m,0.92m,0.06m,0.32m,23rd Mar 10
1932,Moon Patrol,2600,Atari,Shooter,N/A,1.05m,0.06m,N/A,0.01m,01st Jan 83
1557,Max Payne 2: The Fall of Max Payne,PS2,Rockstar Games,Shooter,6.8,0.65m,0.51m,N/A,0.17m,02nd Dec 03
2084,Arc the Lad II,PS,Sony Computer Entertainment,Role-Playing,N/A,N/A,N/A,0.92m,0.13m,20th Jun 96
3232,Dragon Quest Monsters: Caravan Heart,GBA,Unknown,Role-Playing,N/A,N/A,N/A,0.64m,0.02m,31st Dec 20
3735,Petz Wild Animals: Tigerz,DS,Ubisoft,Simulation,N/A,0.52m,0.00m,N/A,0.04m,26th Feb 08
2698,Need for Speed Rivals,X360,Electronic Arts,Racing,N/A,0.38m,0.35m,0.01m,0.07m,19th Nov 13
3452,Metroid Prime: Trilogy,Wii,Nintendo,Shooter,9.0,0.42m,0.05m,N/A,0.14m,24th Aug 09
1418,Star Wars: The Force Unleashed II,X360,LucasArts,Action,6.3,0.95m,0.37m,N/A,0.12m,26th Oct 10
3078,Ape Escape: On the Loose,PSP,Sony Computer Entertainment,Platform,6.6,0.52m,0.01m,0.12m,0.05m,22nd Mar 05
2715,The Sims 2: Pets,PSP,Electronic Arts,Simulation,5.8,0.19m,0.39m,N/A,0.22m,14th Dec 06
3771,WWE Raw 2,XB,THQ,Fighting,N/A,0.43m,0.11m,N/A,0.02m,16th Sep 03
1114,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,Nintendo,Misc,N/A,N/A,N/A,1.71m,N/A,26th Oct 06
226,Warzone 2100,PS,Eidos Interactive,Strategy,N/A,2.79m,1.89m,N/A,0.33m,31st May 99
2804,Prototype 2,PS3,Activision,Action,N/A,0.38m,0.28m,N/A,0.11m,24th Apr 12
76,Just Dance 2,Wii,Ubisoft,Misc,7.3,5.80m,2.86m,0.01m,0.77m,12th Oct 10
2233,Pro Evolution Soccer 2008,PSP,Konami,Sports,7.8,0.02m,0.53m,0.19m,0.25m,12th Mar 08
1337,Madden NFL 2001,PS2,EA Sports,Sports,N/A,1.19m,0.07m,0.05m,0.20m,23rd Oct 00
1534,FIFA Soccer 08,PSP,EA Sports,Sports,7.9,0.20m,0.76m,N/A,0.39m,08th Oct 07
2918,The Godfather II,PS3,Electronic Arts,Adventure,6.4,0.41m,0.21m,0.01m,0.10m,07th Apr 09
3321,Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,Majesco,Misc,N/A,0.46m,0.17m,N/A,0.01m,22nd Jun 04
1242,Dragon Quest VII: Fragments of the Forgotten Past,3DS,Nintendo,Role-Playing,N/A,0.12m,0.13m,1.31m,0.02m,16th Sep 16
410,Kung Fu,NES,Nintendo,Action,N/A,1.64m,0.38m,1.42m,0.06m,01st Oct 85
926,Harry Potter and the Chamber of Secrets,PS,Electronic Arts,Adventure,N/A,0.75m,1.09m,0.02m,0.12m,14th Nov 02
1287,Command & Conquer: Tiberian Sun,PC,Westwood Studios,Strategy,N/A,1.55m,0.00m,N/A,N/A,24th Aug 99
3496,New Carnival Games,Wii,2K Games,Misc,N/A,0.34m,0.21m,N/A,0.06m,21st Sep 10
2278,Star Fox 64 3D,3DS,Nintendo,Shooter,8.0,0.48m,0.29m,0.13m,0.07m,09th Sep 11
3191,The Fairly Odd Parents: Breakin Da Rules,PS2,THQ,Platform,N/A,0.33m,0.25m,N/A,0.09m,03rd Nov 03
3373,Sega Rally Revo,PS3,Sega,Racing,N/A,0.07m,0.43m,N/A,0.14m,09th Oct 07
1839,Cabela's Dangerous Hunts,PS2,Activision,Sports,N/A,0.57m,0.45m,N/A,0.15m,11th Nov 03
1646,Manhunt,PS2,Rockstar Games,Action,8.0,0.63m,0.49m,N/A,0.16m,18th Nov 03
2801,Andretti Racing,PS,EA Sports,Racing,7.3,0.43m,0.29m,N/A,0.05m,30th Nov 96
781,Madden NFL 15,PS4,EA Sports,Sports,N/A,1.57m,0.25m,N/A,0.41m,26th Aug 14
2002,Star Wars: The Force Unleashed,PSP,LucasArts,Action,7.1,0.43m,0.41m,N/A,0.24m,16th Sep 08
396,Tomb Raider III: Adventures of Lara Croft,PS,Eidos Interactive,Adventure,8.2,1.66m,1.58m,0.12m,0.18m,21st Nov 98
3022,Resident Evil: Survivor,PS,Capcom,Shooter,N/A,0.23m,0.15m,0.29m,0.05m,30th Aug 00
3175,Armored Core 3,PS2,Agetec,Simulation,N/A,0.22m,0.17m,0.23m,0.06m,05th Sep 02
1084,Crackdown,X360,Microsoft,Shooter,8.4,1.00m,0.53m,0.03m,0.18m,20th Feb 07
1610,Yu-Gi-Oh! The Sacred Cards,GBA,Konami,Role-Playing,N/A,0.94m,0.35m,N/A,0.02m,04th Nov 03
2128,Super Princess Peach,DS,Nintendo,Platform,7.8,0.70m,0.05m,0.21m,0.07m,27th Feb 06
663,Doom (2016),PS4,Bethesda Softworks,Shooter,N/A,0.85m,1.22m,0.04m,0.40m,13th May 16
609,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Nintendo,Puzzle,7.8,1.63m,0.51m,0.35m,0.18m,14th Nov 10
392,Tom Clancy's Rainbow Six: Siege,PS4,Ubisoft,Shooter,N/A,0.99m,1.76m,0.27m,0.52m,01st Dec 15
1302,Tiger Woods 99 PGA Tour Golf,PS,EA Sports,Sports,N/A,0.85m,0.58m,N/A,0.10m,31st Oct 98
1689,Tales of Xillia,PS3,Namco Bandai Games,Role-Playing,N/A,0.29m,0.20m,0.67m,0.10m,06th Aug 13
3116,Mappy,NES,Namco,Platform,N/A,N/A,N/A,0.69m,N/A,14th Nov 84
965,Tetris DX,GBC,Nintendo,Puzzle,N/A,1.06m,0.60m,0.20m,0.07m,31st Oct 98
2028,Marvel vs. Capcom 3: Fate of Two Worlds,X360,Capcom,Fighting,8.4,0.79m,0.18m,0.03m,0.08m,15th Feb 11
1860,Mega Man X,SNES,Capcom,Platform,N/A,0.57m,0.08m,0.50m,0.01m,01st Jan 94
3218,FIFA 15,PSV,EA Sports,Sports,N/A,0.09m,0.38m,0.06m,0.13m,23rd Sep 14
3692,Harvest Moon: The Tale of Two Towns,DS,Natsume,Simulation,6.3,0.27m,0.06m,0.22m,0.03m,20th Sep 11
2310,Wild ARMs,PS,Sony Computer Entertainment,Role-Playing,8.9,0.26m,0.17m,0.46m,0.06m,30th Apr 97
2871,Kane & Lynch: Dead Men,X360,Eidos Interactive,Shooter,6.8,0.36m,0.31m,0.01m,0.08m,13th Nov 07
2221,Shadow The Hedgehog,GC,Sega,Platform,4.9,0.76m,0.20m,N/A,0.03m,15th Nov 05
3345,SingStar Queen,PS2,Sony Computer Entertainment,Misc,N/A,0.08m,0.12m,N/A,0.44m,04th Aug 09
1190,Army of Two,X360,Electronic Arts,Shooter,6.7,1.09m,0.37m,0.02m,0.16m,07th Mar 08
1012,Kingdom Hearts: Chain of Memories,GBA,Square Enix,Role-Playing,7.4,1.26m,0.18m,0.35m,0.06m,07th Dec 04
2107,Mega Man X4,PS,Capcom,Platform,N/A,0.45m,0.30m,0.22m,0.07m,01st Jan 97
3067,Infinite Undiscovery,X360,Square Enix,Role-Playing,6.8,0.34m,0.18m,0.12m,0.06m,02nd Sep 08
1790,Dragon Ball Z: La Legende Saien,SNES,Bandai,Fighting,N/A,N/A,N/A,1.20m,0.00m,01st Jan 94
731,Guild Wars 2,PC,NCSoft,Role-Playing,N/A,1.00m,1.11m,N/A,0.25m,28th Aug 12
3161,Disney Tangled,Wii,Disney Interactive Studios,Action,N/A,0.46m,0.17m,N/A,0.05m,23rd Nov 10
3704,3D Dot Game Heroes,PS3,Atlus,Role-Playing,7.5,0.36m,0.12m,0.03m,0.07m,11th May 10
